AppID,Name,Genres,Price
5,Dedicated Server,,Unknown
7,Steam Client,,Unknown
8,winui2,,Unknown
10,Counter-Strike,Action,$9.99
20,Team Fortress Classic,Action,$4.99
30,Day of Defeat,Action,$4.99
40,Deathmatch Classic,Action,$4.99
50,Half-Life: Opposing Force,Action,$4.99
60,Ricochet,Action,$4.99
70,Half-Life,Action,$9.99
80,Counter-Strike: Condition Zero,Action,$9.99
90,Half-Life Dedicated Server,,Unknown
92,Codename Gordon,"Indie, Free To Play",Gratis
100,Counter-Strike: Condition Zero Deleted Scenes,Action,$9.99
130,Half-Life: Blue Shift,Action,$4.99
150,Counter-Strike Steamworks Beta,Action,Gratis
205,Source Dedicated Server,,Unknown
210,Source Dedicated Server,,Unknown
211,Source SDK,,Unknown
215,Source SDK Base 2006,,Unknown
218,Source SDK Base 2007,,Unknown
219,Half-Life 2: Demo,Action,Gratis
220,Half-Life 2,Action,$9.99
240,Counter-Strike: Source,Action,$9.99
260,Counter-Strike: Source Beta,,Unknown
280,Half-Life: Source,Action,$9.99
300,Day of Defeat: Source,Action,$9.99
304,Day of Defeat: Source Press Review,,Unknown
310,Source 2007 Dedicated Server,,Unknown
320,Half-Life 2: Deathmatch,Action,Gratis
340,Half-Life 2: Lost Coast,Action,Gratis
360,Half-Life Deathmatch: Source,Action,$9.99
364,HL1:MP Linux client,,Unknown
380,Half-Life 2: Episode One,Action,Gratis
400,Portal,Action,$9.99
410,Portal: First Slice,Action,Gratis
420,Half-Life 2: Episode Two,Action,Gratis
440,Team Fortress 2,"Action, Free To Play",Gratis
456,Team Fortress 2 - Summer 2012 Community Bundle DLC,,Unknown
457,Team Fortress 2 - Summer 2012 Sale Bundle DLC,,Unknown
458,Team Fortress 2 - Summer 2011 DLC,,Unknown
459,Team Fortress 2 - Premium DLC,,Unknown
480,Spacewar,,Unknown
500,Left 4 Dead,Action,$9.99
510,Left 4 Dead Dedicated Server,,Unknown
513,Left 4 Dead Authoring Tools,,Unknown
520,Team Fortress 2 Beta,,Unknown
530,Left 4 Dead Demo,,Unknown
540,Left 4 Dead Demo Dedicated Server,,Unknown
550,Left 4 Dead 2,Action,$9.99
560,Left 4 Dead 2 Dedicated Server,,Unknown
563,Left 4 Dead 2 Authoring Tools,,Unknown
564,Left 4 Dead 2 Add-on Support,,Unknown
565,Left 4 Dead 2 Preorder DLC,,Unknown
570,Dota 2,"Action, Strategy, Free To Play",Gratis
575,Dota 2 - English Depot,,Unknown
576,Dota 2 - SteelSeries DLC ,,Unknown
581,Dota 2 - Murrissey the Smeevil,,Unknown
582,Dota 2 - Lockjaw the Boxhound,,Unknown
583,Dota 2 - Drodo the Druffin,,Unknown
584,Dota 2 - Inflatable Donkey Courier,,Unknown
585,Dota 2 - Plush Donkey Courier,,Unknown
586,Dota 2 - International Axe,,Unknown
590,Left 4 Dead 2 Demo,,Unknown
620,Portal 2,"Action, Adventure",$9.99
629,Portal 2 Authoring Tools,,Unknown
630,Alien Swarm,"Action, Free To Play",Gratis
635,Alien Swarm Dedicated Server,,Unknown
640,Alien Swarm - SDK,,Unknown
644,Portal 2 Publishing Tool,,Unknown
650,Portal 2 - Gamestop PS3 DLC,,Unknown
651,Portal 2 - Bot Paint Job DLC,,Unknown
652,Portal 2 - Bot Roll Cage DLC,,Unknown
653,Portal 2 - Bot Antenna Topper DLC,,Unknown
654,Portal 2 - Summer 2011 DLC,,Unknown
659,Portal 2 - Pre-order,"Action, Adventure",$9.99
660,Portal 2 Sixense MotionPack,,Gratis
669,Portal 2 - Sixense Motion Preorder,,Unknown
730,Counter-Strike 2,"Action, Free To Play",Gratis
740,Counter-Strike Global Offensive - Dedicated Server,,Unknown
745,Counter-Strike: Global Offensive - SDK,,Unknown
753,Steam,,Gratis
754,Steam Economy,,Unknown
755,Steam Achievements,,Unknown
756,Steam Big Picture,,Unknown
760,Steam Screenshots,,Unknown
761,Steam Cloud - Videos,,Unknown
764,Steam Cloud - User Logs,,Unknown
765,Greenlight,,Unknown
767,Steam Artwork,,Unknown
852,ValveTestApp852,,Unknown
854,ValveTestApp854,,Unknown
900,Zombie Movie,,Unknown
901,Day of Defeat: Prelude to Victory,,Unknown
902,Dangerous Waters Trailer,,Unknown
903,Darwinia Trailer,,Unknown
904,Half-Life 2 Trailer,,Unknown
905,Half-Life 2: Episode One Trailer,,Unknown
906,Rag Doll Kung Fu Trailer,,Unknown
907,Red Orchestra Trailer,,Unknown
